,source,destination,dist_capacity,dist_cost_capital,dist_cost_fixed,dist_cost_variable,dist_flowLimit,dist_h
196,baytown_dist_pipelineHighPurity,baytown_demand_lowPurity,0.0,,,,99999999.9,0.0
197,baytown_dist_pipelineHighPurity,montBelvieu_dist_pipelineHighPurity,0.0,16800000.0,2301.6,1.4000000000000001,999999.0,0.0
198,baytown_dist_pipelineHighPurity,sanJacinto_dist_pipelineHighPurity,0.0,8400000.0,1150.8,0.7000000000000001,999999.0,0.0
199,baytown_dist_pipelineLowPurity,baytown_demand_lowPurity,0.0,,,,99999999.9,538.0
200,baytown_dist_pipelineLowPurity,montBelvieu_dist_pipelineLowPurity,1.0,16800000.0,2301.6,1.4000000000000001,999999.0,0.0
201,baytown_dist_pipelineLowPurity,sanJacinto_dist_pipelineLowPurity,1.0,8400000.0,1150.8,0.7000000000000001,999999.0,0.0
202,baytown_dist_truckCompressed,baytown_converter_fuelDispenserGas,,,,,,0.0
203,baytown_dist_truckCompressed,baytown_demand_highPurity,0.0,,,,99999999.9,0.0
204,baytown_dist_truckCompressed,baytown_demand_lowPurity,0.0,,,,99999999.9,0.0
205,baytown_dist_truckCompressed,montBelvieu_dist_truckCompressed,,,,106.12,,0.0
206,baytown_dist_truckCompressed,sanJacinto_dist_truckCompressed,,,,53.06,,0.0
207,baytown_dist_truckLiquefied,baytown_converter_fuelDispenserLiquid,,,,,,0.0
208,baytown_dist_truckLiquefied,baytown_demand_highPurity,0.0,,,,99999999.9,0.0
209,baytown_dist_truckLiquefied,baytown_demand_lowPurity,0.0,,,,99999999.9,0.0
210,baytown_dist_truckLiquefied,montBelvieu_dist_truckLiquefied,,,,7.140000000000001,,0.0
211,baytown_dist_truckLiquefied,sanJacinto_dist_truckLiquefied,,,,3.5700000000000003,,0.0
212,baytown_hub_highPurity,baytown_converter_compression,,,,,,0.0
213,baytown_hub_highPurity,baytown_converter_liquefaction,,,,,,0.0
214,baytown_hub_highPurity,baytown_dist_pipelineHighPurity,0.0,,,,99999999.9,0.0
215,baytown_hub_lowPurity,baytown_converter_purification,,,,,,0.0
216,baytown_hub_lowPurity,baytown_dist_pipelineLowPurity,0.0,,,,99999999.9,433.8
217,baytown_production_electrolyzer,baytown_hub_highPurity,,,,,,0.0
218,baytown_production_smr,baytown_hub_lowPurity,,,,,,0.0
219,baytown_production_smrExisting,baytown_hub_lowPurity,,,,,,433.8
220,beaumont_converter_compression,beaumont_converter_terminalGas,,,,,,0.0
221,beaumont_converter_fuelDispenserGas,beaumont_demand_fuelStation,0.0,,,,99999999.9,0.0
222,beaumont_converter_fuelDispenserLiquid,beaumont_demand_fuelStation,0.0,,,,99999999.9,0.0
223,beaumont_converter_fuelDispenserPipeline,beaumont_demand_fuelStation,0.0,,,,99999999.9,0.0
224,beaumont_converter_liquefaction,beaumont_converter_terminalLiquid,,,,,,0.0
225,beaumont_converter_purification,beaumont_hub_highPurity,0.0,,,,99999999.9,0.0
226,beaumont_converter_terminalGas,beaumont_dist_truckCompressed,0.0,381000.0,52.19,,2.6,0.0
227,beaumont_converter_terminalLiquid,beaumont_dist_truckLiquefied,0.0,1016000.0,139.18,,8.0,0.0
228,beaumont_demand_lowPurity,beaumont_demandSector_existing,0.0,,,,99999999.9,538.0
229,beaumont_demand_lowPurity,beaumont_demandSector_existing_carbonSensitive,0.0,,,,99999999.9,0.0
230,beaumont_dist_pipelineHighPurity,beaumont_converter_fuelDispenserPipeline,,,,,,0.0
231,beaumont_dist_pipelineHighPurity,beaumont_demand_highPurity,0.0,,,,99999999.9,0.0
232,beaumont_dist_pipelineHighPurity,beaumont_demand_lowPurity,0.0,,,,99999999.9,0.0
233,beaumont_dist_pipelineHighPurity,portArthur_dist_pipelineHighPurity,0.0,30000000.0,4110.0,2.5,999999.0,0.0
234,beaumont_dist_pipelineLowPurity,beaumont_demand_lowPurity,0.0,,,,99999999.9,538.0
235,beaumont_dist_pipelineLowPurity,portArthur_dist_pipelineLowPurity,1.0,30000000.0,4110.0,2.5,999999.0,0.0
236,beaumont_dist_truckCompressed,beaumont_converter_fuelDispenserGas,,,,,,0.0
237,beaumont_dist_truckCompressed,beaumont_demand_highPurity,0.0,,,,99999999.9,0.0
238,beaumont_dist_truckCompressed,beaumont_demand_lowPurity,0.0,,,,99999999.9,0.0
239,beaumont_dist_truckCompressed,portArthur_dist_truckCompressed,,,,189.5,,0.0
240,beaumont_dist_truckLiquefied,beaumont_converter_fuelDispenserLiquid,,,,,,0.0
241,beaumont_dist_truckLiquefied,beaumont_demand_highPurity,0.0,,,,99999999.9,0.0
242,beaumont_dist_truckLiquefied,beaumont_demand_lowPurity,0.0,,,,99999999.9,0.0
243,beaumont_dist_truckLiquefied,portArthur_dist_truckLiquefied,,,,12.75,,0.0
244,beaumont_hub_highPurity,beaumont_converter_compression,,,,,,0.0
245,beaumont_hub_highPurity,beaumont_converter_liquefaction,,,,,,0.0
246,beaumont_hub_highPurity,beaumont_dist_pipelineHighPurity,0.0,,,,99999999.9,0.0
247,beaumont_hub_lowPurity,beaumont_converter_purification,,,,,,0.0
248,beaumont_hub_lowPurity,beaumont_dist_pipelineLowPurity,0.0,,,,99999999.9,0.0
249,beaumont_production_electrolyzer,beaumont_hub_highPurity,,,,,,0.0
250,beaumont_production_smr,beaumont_hub_lowPurity,,,,,,0.0
251,brazoria_converter_compression,brazoria_converter_terminalGas,,,,,,0.0
252,brazoria_converter_fuelDispenserGas,brazoria_demand_fuelStation,0.0,,,,99999999.9,0.0
253,brazoria_converter_fuelDispenserLiquid,brazoria_demand_fuelStation,0.0,,,,99999999.9,0.0
254,brazoria_converter_fuelDispenserPipeline,brazoria_demand_fuelStation,0.0,,,,99999999.9,0.0
255,brazoria_converter_liquefaction,brazoria_converter_terminalLiquid,,,,,,0.0
256,brazoria_converter_purification,brazoria_hub_highPurity,0.0,,,,99999999.9,0.0
257,brazoria_converter_terminalGas,brazoria_dist_truckCompressed,0.0,381000.0,52.19,,2.6,0.0
258,brazoria_converter_terminalLiquid,brazoria_dist_truckLiquefied,0.0,1016000.0,139.18,,8.0,0.0
259,brazoria_demand_lowPurity,brazoria_demandSector_existing,0.0,,,,99999999.9,538.0
260,brazoria_demand_lowPurity,brazoria_demandSector_existing_carbonSensitive,0.0,,,,99999999.9,0.0
261,brazoria_dist_pipelineHighPurity,brazoria_converter_fuelDispenserPipeline,,,,,,0.0
262,brazoria_dist_pipelineHighPurity,brazoria_demand_highPurity,0.0,,,,99999999.9,0.0
263,brazoria_dist_pipelineHighPurity,brazoria_demand_lowPurity,0.0,,,,99999999.9,0.0
264,brazoria_dist_pipelineHighPurity,freeport_dist_pipelineHighPurity,0.0,33600000.0,4603.2,2.8000000000000003,999999.0,0.0
265,brazoria_dist_pipelineLowPurity,brazoria_demand_lowPurity,0.0,,,,99999999.9,538.0
266,brazoria_dist_pipelineLowPurity,freeport_dist_pipelineLowPurity,1.0,33600000.0,4603.2,2.8000000000000003,999999.0,0.0
267,brazoria_dist_truckCompressed,brazoria_converter_fuelDispenserGas,,,,,,0.0
268,brazoria_dist_truckCompressed,brazoria_demand_highPurity,0.0,,,,99999999.9,0.0
269,brazoria_dist_truckCompressed,brazoria_demand_lowPurity,0.0,,,,99999999.9,0.0
270,brazoria_dist_truckCompressed,freeport_dist_truckCompressed,,,,212.24,,0.0
271,brazoria_dist_truckLiquefied,brazoria_converter_fuelDispenserLiquid,,,,,,0.0
272,brazoria_dist_truckLiquefied,brazoria_demand_highPurity,0.0,,,,99999999.9,0.0
273,brazoria_dist_truckLiquefied,brazoria_demand_lowPurity,0.0,,,,99999999.9,0.0
274,brazoria_dist_truckLiquefied,freeport_dist_truckLiquefied,,,,14.280000000000001,,0.0
275,brazoria_hub_highPurity,brazoria_converter_compression,,,,,,0.0
276,brazoria_hub_highPurity,brazoria_converter_liquefaction,,,,,,0.0
277,brazoria_hub_highPurity,brazoria_dist_pipelineHighPurity,0.0,,,,99999999.9,0.0
278,brazoria_hub_lowPurity,brazoria_converter_purification,,,,,,0.0
279,brazoria_hub_lowPurity,brazoria_dist_pipelineLowPurity,0.0,,,,99999999.9,538.0
280,brazoria_production_electrolyzer,brazoria_hub_highPurity,,,,,,0.0
281,brazoria_production_smr,brazoria_hub_lowPurity,,,,,,538.0
282,centerville_converter_compression,centerville_converter_terminalGas,,,,,,0.0
283,centerville_converter_fuelDispenserGas,centerville_demand_fuelStation,0.0,,,,99999999.9,0.0
284,centerville_converter_fuelDispenserLiquid,centerville_demand_fuelStation,0.0,,,,99999999.9,20.0
285,centerville_converter_fuelDispenserPipeline,centerville_demand_fuelStation,0.0,,,,99999999.9,0.0
286,centerville_converter_liquefaction,centerville_converter_terminalLiquid,,,,,,0.0
287,centerville_converter_purification,centerville_hub_highPurity,0.0,,,,99999999.9,0.0
288,centerville_converter_terminalGas,centerville_dist_truckCompressed,0.0,381000.0,52.19,,2.6,0.0
289,centerville_converter_terminalLiquid,centerville_dist_truckLiquefied,0.0,1016000.0,139.18,,8.0,0.0
290,centerville_demand_fuelStation,centerville_demandSector_transportationFuel,0.0,,,,99999999.9,15.0
291,centerville_demand_fuelStation,centerville_demandSector_transportationFuel_carbonSensitive,0.0,,,,99999999.9,5.0
292,centerville_dist_pipelineHighPurity,centerville_converter_fuelDispenserPipeline,,,,,,0.0
293,centerville_dist_pipelineHighPurity,centerville_demand_highPurity,0.0,,,,99999999.9,0.0
294,centerville_dist_pipelineHighPurity,centerville_demand_lowPurity,0.0,,,,99999999.9,0.0
295,centerville_dist_pipelineHighPurity,dallas_dist_pipelineHighPurity,0.0,253440000.0,34721.28,21.12,999999.0,0.0
296,centerville_dist_pipelineHighPurity,houston_dist_pipelineHighPurity,0.0,220800000.0,30249.600000000002,18.400000000000002,999999.0,0.0
297,centerville_dist_pipelineLowPurity,centerville_demand_lowPurity,0.0,,,,99999999.9,0.0
