import time: self [us] | cumulative | imported package
import time:      2260 |       2260 |                       _hashlib
import time:        80 |         80 |                         _blake2
import time:        75 |         75 |                         _sha3
import time:      6089 |       6243 |                       hashlib
import time:       932 |       9434 |                     hmac
import time:       983 |      11481 |                   secrets
import time:      1426 |      15874 |                 numpy.random.bit_generator
import time:      1464 |       1464 |                 numpy.random._bounded_integers
import time:      1162 |       1162 |                 numpy.random._mt19937
import time:      1961 |      20458 |               numpy.random.mtrand
import time:      1118 |       1118 |               numpy.random._philox
import time:      1244 |       1244 |               numpy.random._pcg64
import time:      1082 |       1082 |               numpy.random._sfc64
import time:      1530 |       1530 |               numpy.random._generator
import time:       730 |      26160 |             numpy.random._pickle
import time:       699 |      26859 |           numpy.random
import time:       778 |        778 |           numpy.ctypeslib
import time:      3426 |       3426 |             numpy.ma.core
import time:      1655 |       1655 |             numpy.ma.extras
import time:       773 |       5853 |           numpy.ma
import time:      8918 |     125377 |         pyomo.core.expr.numvalue
import time:      1034 |       1034 |           backports_abc
import time:       569 |        569 |             pyomo.core.expr.symbol_map
import time:       988 |       1556 |           pyomo.core.expr.visitor
import time:      2116 |       4705 |         pyomo.core.expr.numeric_expr
import time:       629 |        629 |         pyomo.core.expr.boolean_value
import time:      1015 |       1015 |           backports_abc
import time:      1833 |       2848 |         pyomo.core.expr.logical_expr
import time:       960 |        960 |           pyomo.core.expr.template_expr
import time:       811 |       1771 |         pyomo.core.expr.current
import time:       583 |        583 |           pyomo.core.expr.calculus
import time:       617 |        617 |             pyomo.core.expr.sympy_tools
import time:       520 |       1137 |           pyomo.core.expr.calculus.diff_with_sympy
import time:       659 |        659 |           pyomo.core.expr.calculus.diff_with_pyomo
import time:       839 |       3216 |         pyomo.core.expr.calculus.derivatives
import time:       545 |        545 |         pyomo.core.expr.taylor_series
import time:       881 |     139969 |       pyomo.core.expr
import time:        25 |     139994 |     pyomo.core.expr.numvalue
import time:       732 |        732 |       pyomo.core.kernel.base
import time:       483 |        483 |       pyomo.core.kernel.homogeneous_container
import time:       539 |        539 |       pyomo.core.kernel.heterogeneous_container
import time:       547 |        547 |         pyomo.core.staleflag
import time:       521 |        521 |           pyomo.core.kernel.dict_container
import time:       548 |        548 |           pyomo.core.kernel.tuple_container
import time:       526 |        526 |           pyomo.core.kernel.list_container
import time:       480 |       2074 |         pyomo.core.kernel.container_utils
import time:       495 |        495 |         pyomo.core.kernel.set_types
import time:       718 |       3833 |       pyomo.core.kernel.variable
import time:       719 |        719 |       pyomo.core.kernel.constraint
import time:       686 |        686 |       pyomo.core.kernel.matrix_constraint
import time:       643 |        643 |       pyomo.core.kernel.parameter
import time:       713 |        713 |       pyomo.core.kernel.expression
import time:       676 |        676 |       pyomo.core.kernel.objective
